org:group,resource country,org:resource,oranization country,org:role,concept:name,impact,product,time:timestamp,lifecycle:transition,case:concept:name
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2006-11-07 10:00:36+00:00,In Progress,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2006-11-07 13:05:44+00:00,In Progress,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2009-12-02 14:24:32+00:00,Wait,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2011-09-03 07:09:09+00:00,In Progress,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2007-03-20 09:06:25+00:00,In Progress,1-165554831
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2009-12-02 14:24:31+00:00,Wait,1-165554831
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2011-09-03 07:10:53+00:00,In Progress,1-165554831
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2007-05-10 16:21:54+00:00,In Progress,1-172473423
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2009-12-02 14:24:33+00:00,Wait,1-172473423
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2011-09-03 07:10:59+00:00,In Progress,1-172473423
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2007-07-25 14:21:05+00:00,In Progress,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2009-12-02 14:24:32+00:00,Wait,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Queued,Medium,PROD681,2010-08-25 11:13:01+00:00,Awaiting Assignment,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2011-09-05 09:24:13+00:00,In Progress,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2011-11-14 16:10:25+00:00,Assigned,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2012-01-03 11:30:35+00:00,In Progress,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Completed,Medium,PROD681,2012-01-03 11:31:53+00:00,Closed,1-182640781
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2008-05-07 18:58:51+00:00,In Progress,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2008-10-06 16:44:37+00:00,In Progress,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2009-12-02 14:24:34+00:00,Wait,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2011-09-02 00:27:50+00:00,In Progress,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2011-09-02 00:27:55+00:00,In Progress,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD681,2008-06-04 12:02:18+00:00,In Progress,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD681,2009-12-02 14:24:34+00:00,Wait,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Queued,Medium,PROD681,2010-08-25 11:06:45+00:00,Awaiting Assignment,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD681,2011-09-03 08:02:11+00:00,In Progress,1-236817141
Org line A2,Sweden,Niklas,cn,A2_2,Accepted,Medium,PROD681,2011-11-14 16:09:27+00:00,Assigned,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD681,2012-01-05 14:08:18+00:00,In Progress,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Completed,Medium,PROD681,2012-01-05 14:09:00+00:00,Closed,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2008-11-13 11:01:04+00:00,In Progress,1-270427461
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2009-12-02 14:24:35+00:00,Wait,1-270427461
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2011-11-14 15:57:27+00:00,In Progress,1-270427461
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-01-14 10:34:54+00:00,In Progress,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-01-27 10:43:29+00:00,Wait,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-02-03 10:20:05+00:00,Assigned,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-02-22 08:33:08+00:00,Wait,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2011-09-02 00:17:47+00:00,In Progress,1-345132462
Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2010-02-03 09:34:32+00:00,In Progress,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Queued,Medium,PROD98,2010-02-03 09:45:18+00:00,Awaiting Assignment,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2010-02-03 10:40:51+00:00,In Progress,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2010-02-03 10:40:58+00:00,Assigned,1-351314317
